,Address,Phone,Website,Hours of Service
Lyndhurst Food Pantry,"253 Stuyvesant Avenue Lyndhurst, NJ 7071",(201) 804-2421,,
Lyon County Southwest Human Services,"607 W Main, Ste 100 Marshall, MN 56258",(507) 537-6747,http://www.swmhhs.com/locations/lyon-county/, Monday – Friday: 8:00 a.m. – 4:30 p.m.
Lyon County Southwest Public Health Services,"607 West Main Street Suite 200 Marshall, MN 56258",(507) 537-6713,http://www.swmhhs.com/locations/lyon-county/, Monday – Friday: 8:00 a.m. – 4:30 p.m.
M. A. P. Mission for Area People,"2500 Jefferson Street Muskegon Heights, MI 49444",(231) 733-9672 x231,,
M.U.G.A.B.E.E. (Men Under Guidance Acting Before Early Extinction),"Turner World Around Productions Utica, MS 39175",(601) 953-1863,www.turnerworldaround.org,
MA Department of Public Health Prevention,"250 Washington St 4th Floor Boston, MA 2108",(617) 624-5440,,
MACC Community Pantry,"460 Main St. Manchester, CT 6040",(860) 288-4251,,
Macedonia AME Church,"37-22 Union Street Flushing, NY 11354",(718) 353-5870,, Wed 2-4  
Macedonia Church of Christ,"289 Quincy St. Brooklyn, NY 11216",(718) 638-4620,,2nd & 4th Tuesday 12pm-2pm
Macedonia Family Development/Leaming Center,"1340 W Parrish Street Philadelphia, PA 19123",(267) 639-3072,,Th 1:00 PM- 2:00 PM
Macedonia Missionary Baptist Church,"400 South Main Street Darlington, SC 29540",(843) 393-6639,,
Machias Food Pantry,"9 Center St Machias, ME 4654",(207) 255-6665,,
Macomb County Community Services Agency,"21885 Dunham Road Clinton Township, MI 4803",(586) 469-6999,macombcountymi.gov/mccsa," 8:30 a.m. - 5 p.m., Monday - Friday  "
Maddock Community Food Pantry,"309 Dakota Ave Maddock, ND 58348",(701) 438-2738,,
Madison Area Community Land Trust,"305 S Paterson Street Madison, WI 53703",(608) 280-0131,,
Madison Area Community Supported Agriculture Coalition,"303 S. Paterson St. Suite 1B Madison, WI 53707",(608) 226-0300,http://www.csacoalition.org/,
Madison Avenue Presbyterian Church,"921 Madison Ave. New York, NY 10021",(212) 288-8920,,Soup Kitchen: Thursday 6:30 pm-7:30 pm. 
Madison Countians Allied Against Poverty - Mad-CAAP,"P.o. Box 217 Canton, MS 39046",(601) 407-1404 x601,,
Madison Food Pantry,"1401 Madison Ave SE Grand Rapids, MI 49507",(616) 437-2160,,
Madison Heights UMC-Food Pantry,"246 E. Eleven Mile Rd Madison Heights, MI 48071",(248) 544-3544,,
Madison Park Development Corporation,"122 Dewitt Drive Roxbury, MA 2120",(617) 445-1061,,
Madonna House,"424 Rose Lane Raleigh, NC 27610",() -,,
Madonna House,"405 south 12th Quincy, IL 62301",(217) 224-7771,http://www.madonnahouse.net/,24/7
Magic City Harvest,"3735 Messer Airport Hwy Birmingham, AL 35222",(205) 591-3663,http://www.magiccityharvest.org, Operating hours are Monday-Friday 8-5pm.  Food pick-ups are available upon pre-notification for weekend special events.  
Magnolias,"2151 Glascock Raleigh, NC 27610",() -,,
Mahnomen County Human Services,"311 N Main St P.O. Box 460 Mahnomen, MN 56557",(218) 935-2568,http://www.co.mahnomen.mn.us/human_services.html,"8:00 a.m. – 4:30 p.m.
Monday through Friday"
Maine Organic Farmers and Gardeners Association,"PO Box 170 Unity, ME 4988",(207) 568-4142,www.mofga.org/,
Maine Rural Workers Coalition,"145 Lisbon Street Lewiston, ME 4240",(207) 783-4208,,
Maine Wic Nutrition Program,"11 SHS Augusta, ME 4333",(800) 437-9300,,
"Mainstay, Inc","125 S. Main st. Hendersonville, NC 28792",(828) 693-3840,,
Majority Baptist Church,"115-21 Farmers Boulevard Queens, NY 11412",(718) 528-6690,,Second Wednesday 11:00am to 4:00pm
Make A Difference Food Pantry,"114 Washington St. Lisbon, OH 44432",(330) 424-5212,,
Make The Road New York,"301 Grove Street Brooklyn, NY 11237",(718) 418-7690,www.maketheroad.org, MRNY runs programs seven days a week.  
Mamie Warren Senior Center,"1775 Wheatleys Pond rd. Smyrna, DE 19977",(302) 653-4078,http://www.mamiewarren.org/, mon-fri:8-3  
Manassas St. Thomas UMC,"8899 Sudley Rd Manassas, VA 20110",(703) 368-5161,www.mstumc.org/missions/missions_new/pantry.html,
Mancelona Food Pantry & Resale Inc.,"201 N. Maple Mancelona, MI 49659",(231) 587-9606,,
Mandarin Food Bank,"11730 Old St. Augustine Rd Jacksonville, FL 32258",(904) 292-1675,,
Mandela MarketPlace,"1364 7th Street Oakland, CA 94607",(510) 433-0993,www.mandelamarketplace.org,
Manhattan Adventist Care Center,"528 W 145th Street New York City, NY 10031",(212) 926-1203,,
Manhattan Food Pantry,"115 Third St Manhattan, IL 60442",(815) 478-5118,,
Manifestation Ministry for Healing and Restoration,"1048 Winthrop St. Brooklyn, NY 11212",(718) 864-5621,,Saturday 10am - 3pm
Manistee Community Kitchen,"33 Lake Street Manistee, MI 49660",(231) 357-4334,http://manisteekitchen.org/, Monday-Friday9am - 5pm  
Mankind Against Poverty ,"1533 W. Stiles Street Philadelphia, PA 19121",(215) 787-0900,,First Monday- (12pm-3pm)
Manlius Senior Centre,"1 Arkie Albanese Avenue Manlius, NY 13104",(315) 682-7889,, -10am - 3pm M-F  
Manna Food Bank Inc,"116 East Gonzalez Street Pensacola, FL 32501",(850) 432-2053,http://www.mannafoodpantries.org/,
Manna Food Pantry,"1607 Laurens Rd # 105B Greenville, SC 29607",(864) 421-0092,,
Manna Food Pantry INC,"230 Clary ST Worthington, MN 56187",(507) 360-2535,,
"MANNA FoodBank, Inc.","627 Swannanoa River Road Asheville, NC 28805",(828) 299-3663 x230,http://mannafoodbank.org/, Monday through Friday - Distribution 8-4 pmMonday through Saturday - Volunteerism 8 - 4 pm Th. 5-8 pm Sat. 9-12 and 1-4 pmCall (828) 299-3663 x 232 for volunteer information.  
Manna House,"210 W. Ave F Midlothian, TX 76065",(972) 775-1800,, -Monday thru Thursday 9am-4pmFriday 9am-3pm  
Manna House - Monmouth Neighborhood Housing,"640 Cliffwood Avenue Cliffwood Beach, NJ 7735",(732) 566-8774,,
Manna Ministries - The Church of God Seventh Day (Pentecostal ) Inc.,"922 St. Marks Avenue Brooklyn, NY 11213",(718) 221-9718,,Tuesday 4:30pm - 6:30pm
Manna Ministry Food Pantry,"512 East Allen Street Punta Gorda, FL 33950",(941) 276-3226,,
Manna of Life/Fellowship Chapel,"578 East 166 Street Bronx, NY 10456",(347) 577-5788,,"Soup Kitchen: Saturday 11AM-1PM; Food Pantry: Thursday, Friday - call Mon-Weds for appointment"
Manna on Main Street,"713 West Main St Lansdale, PA 19446",(215) 855-5454,,"Soup Kitchen: M-SA 10:00 AM-12:15 PM & 4:00 PM-5:15 PM, SU 12:00 PM-1:15 PM; Pantry: M/T/TH/F 1:00 PM-3:45 PM, W 9:00 AM-11:00 AM"
"Manna, Inc.","614 S Street N W Rear Washington, DC 20001",(202) 232-2915,,
Mantua Haverford Comm. Center,"631-39 N.39th Street Philadelphia, PA 19104",(215) 382-4591,,"Friday   7:00 AM	6:00 PM"
Mantua Presbyterian Apartments ,"600 n. 34th Street Philadelphia, PA 19104",(215) 689-2660,,Third Monday- (12pm-3pm)
Mantua Scattered Site Tenant Council  ,"3802-04 Mt. Vernon Street, Philadelphia, PA 19104",(267) 242-0989,,"Monday	10:00 AM	2:00 PM Tuesday	10:00 AM	2:00 PM Thursday	10:00 PM	2:00 PM Friday	10:00 PM	2:00 PM"
Many Mansions,"1459 E. Thousand Oaks Blvd. Thousand Oaks, CA 91362",(805) 496-4948,www.manymansions.org,
Manzanita Senior Center,"3581 W. Northern Ave. Phoenix, AZ 85051",(602) 262-4949,, Lunch is served at 11:30 a.m. Monday through Friday. Lunch reservations are required 48 hours in advance.  
Map Holistic CDC ,"1533 W. Stiles Street Philadelphia, PA 19121",(215) 787-0935,,M 9:00 AM-2:00 PM;  T 9:00 AM-2:00 PM;  TH 9:00 AM-2:00 PM;  
Marana Community Food Bank,"11734 W. Grier Marana, AZ 85653",(520) 682-3001,http://communityfoodbank.com/branch-banks/marana/," -Monday, Wednesday, Thursday, Friday 10:00a.m. to 2:00p.m. Tuesdays 10:00a.m. to 5:00p.m.  "
Maranantha Food Pantry,"501 East 6th Street Washington, NC 27889",(252) 229-3999,, pantry: Sat & Sun 7-12amsoup kitchen: Sat 12:30-2  
Maranantha Pentecostal,"3994 East NC Hwy 24 Beulaville, NC 28518",(910) 298-4198,, M 8:30-12:30  
Maranatha ,"43 Philadelphia Avenue Waynesboro, PA 17268",(717) 762-5086,http://www.maranathaministries.net/,
Maranatha,"195 Loudon St. Chambersburg, PA 17201",(717) 264-7785,,
Marcellus Ecumenical Pantry,"1 East Main Street Marcellus, NY 13108",(315) 673-2201,,Tuesday 11am-12pm & 7-8pm
Margaretville Food Pantry,"579 Main St. Margaretville, NY 12455",(845) 586-2233,,
Marguerite's Place,"87 Palm Street Nashua, NH 3060",(603) 598-1582,www.margueritesplace.org,
Maria's Kitchen,"405 West 60th Street New York, NY 10019",(212) 397-7222,,Tuesday 11:30pm to 12:15pm
Maricopa County Government Managed Care System,"2516 E University Dr Phoenix, AZ 85034",(602) 344-8760,,
Maricopa County Health Department,"1825 E Roosevelt Phoenix, AZ 85006",(602) 506-6068,healthcare.maricopa.edu/immunizationinfo.php," ?Open Every Wednesday, 2 pm - 4 pm  "
Marillac Social Center (aka Marillac House),"212 South Francisco Avenue Chicago, IL 60612",(773) 722-7440,www.marillachouse.org," M-F, 7 am-6pm  "
Marin Organic ,"80 4th Street Point Reyes Station, CA 94956",() -,,
Market Umbrella,"7214 St. Charles Avenue New Orleans, LA 70118",(504) 861-4485,www.marketumbrella.org,
"Marne Road Group Home, Inc"," ASheville, NC 28802",(828) 285-0622,,
Marquette County Habitat for Humanity,"P.O. Box 213 Marquette, MI 49855",(906) 228-3578,www.mqthabitat.org, 8AM - 4:30 PM  
"Marrion-Polk Food Share, Inc.","1660 Salem Industrial Drive NE Salem, OR 97303",(503) 581-3855,,
Mars Hill Community Cupboard,"10 ACI Street Mars Hill, ME 04758",(207) 429-8043,, 2nd Tuesday of the Month: 1-3 pm and 4th Tuesday of the Month: 6-8 pm 
Marshall County Christian Services,"407 Logan St Albertville, AL 35950",(256) 878-3533,http://www.marshallcountychristianservices/org,
Martha & Mary Chidlren's Services,"19160 Front St. NE Poulsbo, WA 98370",(360) 394-4095,," -Our children's programs all run 5:30 am -6:00 pm, Monday through Friday, all year around. The senior services are provided 7 days a week all year around.  "
Martha's Kitchen,"311 Willow St. San Jose, CA 95110",(408) 293-6111,marthas-kitchen.org,
Martin Luther King All-Children Choir,"130 E. Morgan st. Raleigh, NC 27601",() -,,
Martin Luther King Ecumenical Center,"1143 Tacoma Avenue, South Tacoma, WA 98402",(253) 627-1099,,
Martin St. Baptist,"1001 E. Martin st. Raleigh, NC 27601",() -,,
Martinsville Community Food Pantry,"17 North York Martinsville, IL 62442",(217) 232-8038,,
Mary Fields Apartment,"2100 South 58th Street Philadelphia, PA 19143",(215) 727-3696 x215,,F 12:00 PM-5:00 PM
Mary Help of Christians Food Pantry,"440 East 12th Street New York, NY 10009",(212) 254-0058,,"Tuesday, Wednesday, Thursday 9:00am to 2:00pm"
"Mary Judd, God's Helpers of Raleigh","211 S. Swain st. Raleigh, NC 27601",() -,,
Mary Lind Foundation,"2500 Wilshire Blvd #826 Los Angeles, CA 90057",(213) 382-4241,,
Mary Rigg Neighborhood Center,"1920 W. Morris Street Indianapolis, IN 46221",(317) 639-6106,www.maryrigg.org/, Monday through Friday 6:30 am. to 6:00 pm.  
Mary's Cupboard,"100 Levittown Parkway Levittown, PA 19054",(215) 949-1991,,M 1:00 PM-4:00 PM;  W 9:30 AM-1:00 PM;  F 9:30 AM-1:00 PM;  
Mary's Pantry,"425 Beechwood Ave Liverpool, NY 13088",(315) 457-8060,,Monday 12pm-2pm Tuesday 330pm-5pm Thursday 3pm-430pm
Maryland Alliance for Responsible Investment,"8 W 26th Street Baltimore, MD 21218",(410) 467-5042,,
Maryland Department of Human Resources,"311 West Saratoga Street Baltimore, MD 21201",() -,,
Maryland Food Bank,"220 Halethrope Farms Road Baltimore, MD 21227",(410) 947-0404,http://www.mdfoodbank.org/,
Marysville Community Food Bank,"4150 88th Street NE Marysville, WA 98270",(360) 658-1054,,
Mary’s Center - Georgia Ave,"3912 Georgia Avenue NW, 3rd floor Washington, DC 20011",(202) 545-8042,,
Mary’s Center for Maternal & Child Care,"2333 Ontario Road, NW Washington, DC 20009",(202) 232-6679,,"Mon. - Fri. 8:30 am - 5 pm
Lunch: 1 pm - 1:45 pm
1st & 3rd Saturday. *9 am - 3 pm"
Mary’s Center- Brookland,"1305 Rhode Island Avenue NE Washington, DC 20018",(202) 269-0487,,
MASBIA of Boro Park,"4114 14th Ave Brooklyn, NY 11219",(866) 962-7242,,"Soup Kitchen: Sunday, Monday, Tuesday, Wednesday,Thursday 3pm-7:30pm
Food Pantry 3pm-7:30pm"
Masbia of Flatbush,"1372 Coney Island Ave. Brooklyn, NY 11230",(718) 972-4446,,"Soup Kitchen: Sunday, Monday, Tuesday, Wednesday, Thursday, 4pm-8:30pm.
Food Pantry: Thursday 4pm-8:30pm."
Masbia of Rego Park,"98-08 Queens Blvd. Queens (Rego Park), NY 11374",(718) 972-4446,,"Soup Kitchen: Thursday 4pm - 8:30pm
Food Pantry: 11am-2pm"
Masco Mantua 39th Aspen Street,"3837 Brown Street Philadelphia, PA 19104",(267) 355-9136,,"Monday Tuesday	8:00 AM 8:00 AM Wednesday Thursday	8:00 AM 8:00 AM Friday	8:00 AM"
Mason Food Pantry,"406 Fourth Avenue Mason, OH 45040",(513) 754-0333,,
Massachusetts Affordable Housing Alliance,"1803 Dorchester Avenue Dorchester, MA 2124",(617) 822-9100,,
"Massachusetts Avenue Project, Inc.","382 Massachusetts Avenue Buffalo, NY 14213",(716) 882-5327,www.mass-ave.org,
Massachusetts Coalition for the Homeless,"8 Winter Street Boston, MA 2108",(617) 423-9162,,
Massachusetts WIC Program,"250 Washington St Boston, MA 2108",(617) 624-6100,," M-F 9-5, some evenings and saturdays  "
Masters Tabernacle Food Pantry,"29 N. Church Street Canaseraga, NY 14822",(607) 545-9931,,
Mater Christi Food Pantry,"3 West Erie Street Albany, NY 12208",(518) 596-6691,,
Maternity Care Coalition,"2000 Hamilton Street, #205 Philadelphia, PA 19130",(215) 972-0700,www.momobile.org,
Matthew 25 Food Pantry,"86 West Bridge Street Catskill, NY 12414",(518) 943-5890,,
Matthew 25 Ministry Hub ,"225 K Ave NW Cedar Rapids, IA 52404",(319) 350-2214,www.hub25.org,
Matthew House of Chicago,"3722-28 South Indiana Avenue Chicago, IL 60653",(773) 536-6628,www.matthewhousechicago.org,
Mattie Dixon Community Cpbd - Food Pantry,"150 North Main Street Ambler, PA 19002",(215) 628-3002,,M 9:30 AM-11:30 AM;  W 9:30 AM-11:30 AM;  
Mattmiller Foodpantry (WACOM),"131 Wood Dr. Millport, AL 35567",(205) 712-3327,,
Mattoon Area PADS Community Organization,"2017 Broadway Mattoon, IL 61938",(217) 234-7237,,
Maui Community Food Bank,"330 Hoohana Street Kahului, HI 96733",(808) 243-9500,,
Maxfield Comm.Food Pantry,"69 Bay Road Lake Luzerne, NY 12846",() -,,
May Dugan Center,"4115 Bridge Avenue Cleveland, OH 44113",(216) 631-5800,,
Mayfair Plymouth Chruch Community Food Pantry,"5353 Bennett Rd. Toledo, OH 43612",(419) 476-7093,,
Mayfield Park Food Pantry,"700 West Hutchins San Antonio, TX 78221",(210) 923-2241,,
Maynard Food Pantry,"PO Box 54 Maynard, MA 1754",(978) 897-8340,,
MayPort Food Pantry,"703 Helen Ave Portland, ND 58274",(701) 786-3733,,
Mayview Learning Center,"1103 Parker St. Raleigh, NC 27607",(919) 835-9575,, Hours of Operation:Monday-Thursday 10:00am-7:00pmFriday -10:00am-5:00pmSaturday-10:00am-12:00pm  
McAuley Corporation,"PO Box 73195 Providence, RI 2907",(401) 941-9013,www.mcauley.org,
McAuley Village,"325 Niagra St. Providence, RI 2907",(401) 467-3630,www.mcauleyri.org,
McCleary Food Bank,"Po Box 1065 Mccleary, WA 98557",(360) 495-3634,,
McCone Food Bank,"Main Street Circle, MT 59215",(406) 485-2647,,
Mcdowell Mission Ministries,"P.O. Box 297 Marion, NC 28752",(828) 659-3981,,
McKean County Food Bank,"20 Russell Blvd Bradford, PA 16701",(814) 362-0071,,
McKinley County SNAP Office,"3006 E. Hwy 66 Gallup, NM 87301",(505) 726-7600 x800,,
McKinley Hall,"1101 E. High St. Springfield, OH 45505",(937) 328-5300,www.mckinleyhall.org,
McLaurin Heights United Methodist Church,"325 Mary Ann Drive Pearl, MS 39208",(601) 932-4818,,
McLennan County Hunger Coalition,"300 South 15th St Waco, TX 76701",(254) 224-8486,http://www.mclennanhunger.org/,
McLeod County Public Health Nursing Service (301),"1805 Ford Avenue North Suite 200 Glencoe, MN 55336",(320) 864-3185,http://www.co.mcleod.mn.us/mcleodco.cfm?pageID=23&sub=yes,
McLeod County Social Service Center ,"1805 Ford Ave N Ste 100 Glencoe, MN 55336",(320) 864-3144,http://www.co.mcleod.mn.us/mcleodco.cfm?pageID=31,
MCSI Food Pantry,"255 Main Street Marlborough, MA 1752",(508) 481-4080,,
Meadowbrook Collaborative ,"4072 Meadowbrook Lane St. Lous Park, MN 55426",(952) 935-9239,www.meadowbrookcollaborative.org,
Meals of Marin,"3095 Kerner Blvd., ""Q"" San Rafael, CA 94901",(415) 457-4666,www.mealsofmarin.net,
Meals on Wheels PLUS of Manatee,"811 23rd Avenue East Bradenton, FL 34208",(941) 747-4655,http://www.mealsonwheelsplus.org/,
"Mechanicville Area Community Services Center, Inc.","6 South Main Street Mechanicville, NY 12118",(518) 664-8322,http://mechanicvilleareacommunityservicescenterinc.vpweb.com/," Mon-Fri, 9-5  "
Mecklenburg County Foster Parents,"7000 Harrisburg Road Charlotte, NC 28215",(704) 596-1216,,
Medfield Food Pantry,"496 Main Street Medfield, MA 2052",(508) 359-4958,,
Medway Village Food Pantry,"170 Village St. Medway, MA 2053",(508) 966-0059,,
Meeker County Emergency Food Shelf,"118 N. Sibley Ave. Litchfield, MN 55355",(320) 693-7661,,
Meet Each Need With Dignity (MEND),"13460 Van Nuys Boulevard Pacoima, CA 91331",(818) 896-0246,www.mendpoverty.org,
Meeting Emergency Needs with Dignity,"37 Evergreen Place East Orange, NJ 7018",(973) 266-7941,http://MENDNJ.ORG/,Mon - Fri./ 9 - 5
Meeting Ground- Loaves and Fishes,"P.O. Box 808 Elkton, MD 21922",(410) 275-2936,www.meetingground.org,
Memorial Tabernacle Baptist Church,"2249 W. Hunting Park Ave Philadelphia, PA 19140",(215) 229-5060 x215,,M 10:00 AM-1:00 PM
Memphis Area Legal Services Inc,"109 North Main St Memphis, TN 38104",(901) 523-8822,,
Men Stopping Violence,"533 W. Howard Avenue, Suite Decatur, GA 30030",(404) 270-9894,www.menstoppingviolence.org,
Men Who Care Germantown Inc. - CSFP/senior box program,"180 E. Tulpehoken Street Philadelphia, PA 19144",(215) 817-3374,,First Tuesday- (12pm-3pm)
Men's Resource Center,"236 North Pleasant Street Amherst, MA 1002",(413) 253-9887,mrc-wma2valinet.com,
"Menchville House Ministries, Inc.","13658 Warwick Boulevard Newport News, VA 23602",(757) 833-5980,www.menchvillehouse.com,
MEND,"37 Evergreen Place East Orange, NJ 7016",(973) 266-7966,http://mendnj.org/,
MEND Foodbank,"10641 N San Fernando Road Pacoima, CA 91331",(818) 686-7334,,
"Mental Health Association of Oswego County, Inc. Emergency Food Pantry","70 Bunner St Oswego, NY 13126",(315) 349-3533,,
Mental Health Association of York County,"303 East Market Street York, PA 17403",(717) 843-6973,,
Mental Health Center of Champaign / TIMES Center,"70 East Washington Champaign, IL 61820",(217) 398-7785,www.timescenter.org,
MENTOR/National Mentoring Partnership ,"1600 Duke Street Alexandria, VA 22314",(703) 224-2200,www.mentoring.org/,
"Mentoring in Medicine, Inc.","Dept. of Emergency Medicine; Rosenthal SE-Room 201 Bronx, NY 10467",(212) 252-4086,www.medicalmentor.org,
Merced County Community Action Agency,"1748 Miles Court, Suite B Merced, CA 95340",(209) 383-4859,www.mercedcaa.org,
Mercer Area Food Pantry,"5113 Black Lake Road Mercer, WI 54547",(715) 476-7655,,
Mercer Street Friends,"151 Mercer Street Trenton, NJ 8611",(609) 396-1506,www.mercerstreetfriends.org,
Mercer Street Friends Food Bank,"824 Silvia Street Ewing, NJ 8628",(609) 406-0503,,
Mercy Brown Bag Program,"3431 Foothill Boulevard Oakland, CA 94601",(510) 534-8540,www.eldercarealliance.org,
Mercy Center,"1106 Main Street Asbury Park, NJ 7712",(732) 774-9397,www.mercycenternj.org,
Mercy Douglass Residents,"4511 Walnut Street Philadelphia, PA 19139",(215) 387-0960,,T-F 11:00 AM-2:00 PM
Mercy Housing and Human Development,"1010 Ford Street Gulfport, MS 39507",(228) 896-1945,www.ruralisc.org/,
